episode_id,create_time,avg_score,min_score,sum_score,agent_count,size_bytes
87883599,2026-07-24T17:27:20.4366860,1212.933431,1191.500787,2425.866862,2,7272563
87823155,2026-07-24T09:42:25.3730521,1211.812551,1194.431941,2423.625102,2,5661933
87824148,2026-07-24T09:50:31.8231920,1210.789939,1186.074791,2421.579878,2,6486545
87908697,2026-07-24T20:23:21.4056669,1210.594905,1190.764500,2421.189810,2,6871956
87884148,2026-07-24T17:31:20.8836803,1209.742949,1190.451298,2419.485897,2,5089882
87827851,2026-07-24T10:18:25.1532595,1208.520727,1186.310968,2417.041454,2,6888855
87862502,2026-07-24T14:42:58.5335171,1207.885117,1204.462359,2415.770234,2,5701566
87862505,2026-07-24T14:42:58.5453777,1207.885117,1199.698154,2415.770234,2,5278159
87822112,2026-07-24T09:34:25.3601594,1207.467250,1182.978004,2414.934501,2,6157714
87827337,2026-07-24T10:14:25.3761863,1206.977791,1187.132369,2413.955582,2,6832316
87910547,2026-07-24T20:35:19.9688904,1206.795541,1201.470524,2413.591083,2,5981760
87910540,2026-07-24T20:35:19.9533549,1206.795541,1196.639738,2413.591083,2,6408282
87861980,2026-07-24T14:39:01.8807557,1206.477549,1204.064759,2412.955099,2,5454102
87859338,2026-07-24T14:18:56.1555909,1206.223854,1205.201586,2412.447707,2,5445137
87826269,2026-07-24T10:06:31.2840908,1205.989375,1182.275797,2411.978750,2,4763958
87907496,2026-07-24T20:15:18.2500173,1205.772319,1175.768131,2411.544638,2,4691549
87906889,2026-07-24T20:11:18.2686717,1205.772319,1179.430471,2411.544638,2,5683043
87909938,2026-07-24T20:31:20.6106293,1205.379207,1188.805438,2410.758415,2,7473555
87816874,2026-07-24T08:54:25.6043531,1205.372313,1186.728979,2410.744626,2,6057760
87817916,2026-07-24T09:02:25.4271433,1205.348407,1189.421880,2410.696813,2,4771867
87879912,2026-07-24T16:59:22.8326080,1204.946141,1183.883481,2409.892282,2,5406305
87825744,2026-07-24T10:02:27.7962198,1204.340172,1182.836818,2408.680344,2,5925974
87816350,2026-07-24T08:50:33.3926035,1203.537305,1187.080817,2407.074610,2,5952735
87832058,2026-07-24T10:50:25.7271405,1202.841483,1183.040781,2405.682966,2,5604902
87856182,2026-07-24T13:54:55.8337953,1202.652217,1201.623812,2405.304434,2,5101947
87878876,2026-07-24T16:51:22.0947938,1201.129642,1182.745539,2402.259284,2,6125261
87875204,2026-07-24T16:23:20.3233061,1200.991604,1178.465741,2401.983208,2,5686189
87858287,2026-07-24T14:10:57.8481148,1200.976828,1193.613680,2401.953656,2,3746445
87857764,2026-07-24T14:06:57.3216787,1200.976828,1198.007993,2401.953656,2,6431295
87818962,2026-07-24T09:10:25.5041861,1200.625944,1176.132207,2401.251888,2,4967991
87819492,2026-07-24T09:14:25.3683542,1200.625944,1172.414216,2401.251888,2,5686694
87905128,2026-07-24T19:59:19.9911713,1199.995725,1176.600364,2399.991450,2,5633106
87830489,2026-07-24T10:38:26.5275145,1199.555650,1172.493603,2399.111300,2,4641946
87830481,2026-07-24T10:38:26.5071232,1199.555650,1168.852842,2399.111300,2,6018763
87831013,2026-07-24T10:42:25.5662571,1199.555650,1174.400521,2399.111300,2,4708038
87842557,2026-07-24T12:10:55.8292937,1199.387565,1197.894519,2398.775131,2,8236146
87842019,2026-07-24T12:07:02.1023121,1199.387565,1193.197450,2398.775131,2,6442880
87839396,2026-07-24T11:46:35.7181464,1198.749059,1195.197287,2397.498118,2,6423390
87874676,2026-07-24T16:19:22.1415164,1197.951051,1176.281828,2395.902103,2,6722464
87910456,2026-07-24T20:35:19.7747113,1197.790396,1189.720431,2395.580793,2,5524824
